,drug vector,probabilistic score
0,0 0 0 0 0 0 0,0.0
1,0 0 0 0 0 0 1,0.05086678644974443
2,0 0 0 0 0 1 0,0.20264671375946572
3,0 0 0 0 0 1 1,0.20264671375946572
4,0 0 0 0 1 0 0,8.557106172110233
5,0 0 0 0 1 0 1,8.700681779024833
6,0 0 0 0 1 1 0,9.031315890948173
7,0 0 0 0 1 1 1,9.031315890948173
8,0 0 0 1 0 0 0,48.274221204886494
9,0 0 0 1 0 0 1,48.4177968118011
10,0 0 0 1 0 1 0,48.748430923724435
11,0 0 0 1 0 1 1,48.748430923724435
12,0 0 0 1 1 0 0,57.521310722226325
13,0 0 0 1 1 0 1,59.403381820866876
14,0 0 0 1 1 1 0,62.50625579430128
15,0 0 0 1 1 1 1,62.50625579430128
16,0 0 1 0 0 0 0,4.452484678431662
17,0 0 1 0 0 0 1,4.542732202777983
18,0 0 1 0 0 1 0,4.7724531738413445
19,0 0 1 0 0 1 1,4.7724531738413445
20,0 0 1 0 1 0 0,12.546867180257124
21,0 0 1 0 1 0 1,12.759359078490734
22,0 0 1 0 1 1 0,13.217160156538432
23,0 0 1 0 1 1 1,13.217160156538432
24,0 0 1 1 0 0 0,49.499946671917435
25,0 0 1 1 0 0 1,49.71243857015104
26,0 0 1 1 0 1 0,50.170239648198745
27,0 0 1 1 0 1 1,50.170239648198745
28,0 0 1 1 1 0 0,58.294157703446636
29,0 0 1 1 1 0 1,60.12536201563744
30,0 0 1 1 1 1 0,63.152756241436734
31,0 0 1 1 1 1 1,63.152756241436734
32,0 1 0 0 0 0 0,9.939534158687966
33,0 1 0 0 0 0 1,10.083109765602567
34,0 1 0 0 0 1 0,10.413743877525905
35,0 1 0 0 0 1 1,10.413743877525905
36,0 1 0 0 1 0 0,17.427617383314054
37,0 1 0 0 1 0 1,17.726254645696425
38,0 1 0 0 1 1 0,18.340758243290917
39,0 1 0 0 1 1 1,18.340758243290917
40,0 1 0 1 0 0 0,51.03579544988391
41,0 1 0 1 0 0 1,51.33443271226628
42,0 1 0 1 0 1 0,51.94893630986077
43,0 1 0 1 0 1 1,51.94893630986077
44,0 1 0 1 1 0 0,59.20893942750253
45,0 1 0 1 1 0 1,60.972047880413825
46,0 1 0 1 1 1 0,63.906733285748274
47,0 1 0 1 1 1 1,63.906733285748274
48,0 1 1 0 0 0 0,16.61210793603912
49,0 1 1 0 0 0 1,16.82459983427273
50,0 1 1 0 0 1 0,17.282400912320426
51,0 1 1 0 0 1 1,17.282400912320426
52,0 1 1 0 1 0 0,23.32324201924734
53,0 1 1 0 1 0 1,23.726894582687244
54,0 1 1 0 1 1 0,24.530917981409008
55,0 1 1 0 1 1 1,24.530917981409008
56,0 1 1 1 0 0 0,52.932634325235675
57,0 1 1 1 0 0 1,53.33628688867557
58,0 1 1 1 0 1 0,54.14031028739734
59,0 1 1 1 0 1 1,54.14031028739734
60,0 1 1 1 1 0 0,60.27796237498667
61,0 1 1 1 1 0 1,61.95328459967019
62,0 1 1 1 1 1 0,64.77639124763101
63,0 1 1 1 1 1 1,64.77639124763101
64,1 0 0 0 0 0 0,16.61210793603912
65,1 0 0 0 0 0 1,16.82459983427273
66,1 0 0 0 0 1 0,17.282400912320426
67,1 0 0 0 0 1 1,17.282400912320426
68,1 0 0 0 1 0 0,23.32324201924734
69,1 0 0 0 1 0 1,23.726894582687244
70,1 0 0 0 1 1 0,24.530917981409008
71,1 0 0 0 1 1 1,24.530917981409008
72,1 0 0 1 0 0 0,52.932634325235675
73,1 0 0 1 0 0 1,53.33628688867557
74,1 0 0 1 0 1 0,54.14031028739734
75,1 0 0 1 0 1 1,54.14031028739734
76,1 0 0 1 1 0 0,60.27796237498667
77,1 0 0 1 1 0 1,61.95328459967019
78,1 0 0 1 1 1 0,64.77639124763101
79,1 0 0 1 1 1 1,64.77639124763101
80,1 0 1 0 0 0 0,24.631831122268988
81,1 0 1 0 0 0 1,24.93046838465136
82,1 0 1 0 0 1 0,25.54497198224585
83,1 0 1 0 0 1 1,25.54497198224585
84,1 0 1 0 1 0 0,30.365830646418402
85,1 0 1 0 1 0 1,30.89500931190365
86,1 0 1 0 1 1 0,31.924651521491214
87,1 0 1 0 1 1 1,31.924651521491214
88,1 0 1 1 0 0 0,55.24543224462002
89,1 0 1 1 0 0 1,55.77461091010526
90,1 0 1 1 0 1 0,56.804253119692824
91,1 0 1 1 0 1 1,56.804253119692824
92,1 0 1 1 1 0 0,61.51353302649175
93,1 0 1 1 1 0 1,63.07891735788066
94,1 0 1 1 1 1 0,65.76993444748004
95,1 0 1 1 1 1 1,65.76993444748004
96,1 1 0 0 0 0 0,16.61210793603912
97,1 1 0 0 0 0 1,16.82459983427273
98,1 1 0 0 0 1 0,17.282400912320426
99,1 1 0 0 0 1 1,17.282400912320426
100,1 1 0 0 1 0 0,23.32324201924734
101,1 1 0 0 1 0 1,23.726894582687244
102,1 1 0 0 1 1 0,24.530917981409008
103,1 1 0 0 1 1 1,24.530917981409008
104,1 1 0 1 0 0 0,52.932634325235675
105,1 1 0 1 0 0 1,53.33628688867557
106,1 1 0 1 0 1 0,54.14031028739734
107,1 1 0 1 0 1 1,54.14031028739734
108,1 1 0 1 1 0 0,60.27796237498667
109,1 1 0 1 1 0 1,61.95328459967019
110,1 1 0 1 1 1 0,64.77639124763101
111,1 1 0 1 1 1 1,64.77639124763101
112,1 1 1 0 0 0 0,24.631831122268988
113,1 1 1 0 0 0 1,24.93046838465136
114,1 1 1 0 0 1 0,25.54497198224585
115,1 1 1 0 0 1 1,25.54497198224585
