,Drug Vector,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0 0 0 0 0 0 0,10.5,10.5,10.5,10.5,10.5,10.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
1,0 0 0 0 0 0 1,10.5,10.5,10.5,10.5,10.5,10.5,0.0,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
2,0 0 0 0 0 1 0,10.5,10.5,10.5,10.5,10.5,10.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
3,0 0 0 0 0 1 1,10.5,10.5,10.5,10.5,10.5,10.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
4,0 0 0 0 1 0 0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
5,0 0 0 0 1 0 1,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
6,0 0 0 0 1 1 0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
7,0 0 0 0 1 1 1,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
8,0 0 0 1 0 0 0,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
9,0 0 0 1 0 0 1,4.5,4.5,4.5,4.5,4.5,4.5,0.0,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
10,0 0 0 1 0 1 0,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
11,0 0 0 1 0 1 1,2.5,2.5,2.5,2.5,2.5,2.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
12,0 0 0 1 1 0 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
13,0 0 0 1 1 0 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
14,0 0 0 1 1 1 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
15,0 0 0 1 1 1 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,6.5,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5
16,0 0 1 0 0 0 0,10.5,10.5,0.0,10.5,10.5,10.5,0.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
17,0 0 1 0 0 0 1,10.5,10.5,0.0,10.5,10.5,10.5,0.0,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,6.5,6.5,6.5,0.5,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5
